Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
150,WW Aur,s,06 32 27.18,+32 27 17.63,A5m,1.8140,0.0070,1.8420,0.0110,4.166,0.005,7670,410,*,WW Aur
151,V501 Mon,p,06 40 41.72,-01 06 40.00,A6m,1.6455,0.0043,1.8880,0.0290,4.103,0.013,7510,100,*,V501 Mon
152,V501 Mon,s,06 40 41.72,-01 06 40.00,F0,1.4588,0.0025,1.5920,0.0280,4.198,0.015,7000,90,*,V501 Mon
153,SV Cam,p,06 41 19.07,+82 16 02.42,F5V,1.5750,0.0640,1.4700,0.0530,4.301,0.036,6038,58,**,SV Cam
154,SV Cam,s,06 41 19.07,+82 16 02.42,K4V,0.9340,0.0640,1.0010,0.0640,4.408,0.063,4804,143,***,SV Cam
155,GX Gem,p,06 46 09.13,+34 24 52.83,F7V,1.4880,0.0110,2.3340,0.0120,3.875,0.006,6194,100,*,GX Gem
156,GX Gem,s,06 46 09.13,+34 24 52.83,F7V,1.4670,0.0100,2.2440,0.0120,3.903,0.006,6166,100,*,GX Gem
157,CoRoT 102932176,p,06 49 11.00,-01 59 30.00,F0V,1.5800,0.1800,1.6300,0.0500,4.213,0.056,7300,50,***,CoRoT 102932176
158,CoRoT 102932176,s,06 49 11.00,-01 59 30.00,K4V,0.6400,0.0800,0.7300,0.0200,4.518,0.059,4547,80,***,CoRoT 102932176
159,HS Aur,p,06 51 18.47,+47 40 24.16,G8V,0.8980,0.0190,1.0050,0.0230,4.387,0.022,5350,70,*,HS Aur
160,HS Aur,s,06 51 18.47,+47 40 24.16,K0V,0.8770,0.0170,0.8740,0.0300,4.498,0.031,5200,72,**,HS Aur
161,HI Mon,p,06 55 49.07,-04 02 35.79,B0V,11.4260,0.2410,4.7750,0.1020,4.138,0.021,30000,500,*,HI Mon
162,HI Mon,s,06 55 49.07,-04 02 35.79,B0.5V,9.8640,0.1620,4.6450,0.0650,4.098,0.014,29000,500,*,HI Mon
163,LT CMa,p,07 04 02.62,-12 17 17.37,B4V,5.5910,0.2000,3.6000,0.0700,4.073,0.023,17000,500,**,LT CMa
164,LT CMa,s,07 04 02.62,-12 17 17.37,B6.5V,3.3640,0.1400,2.0460,0.0500,4.343,0.028,13140,800,**,LT CMa
165,SW CMa,p,07 08 15.24,-22 26 25.26,A4,2.2400,0.0140,3.0150,0.0200,3.830,0.006,8200,150,*,SW CMa
166,SW CMa,s,07 08 15.24,-22 26 25.26,A5,2.1050,0.0180,2.4960,0.0420,3.967,0.015,8100,150,*,SW CMa
167,HW CMa,p,07 08 21.86,-22 24 29.87,A6,1.7190,0.0110,1.6490,0.0180,4.239,0.010,7560,150,*,HW CMa
168,HW CMa,s,07 08 21.86,-22 24 29.87,A6,1.7790,0.0120,1.6680,0.0210,4.244,0.011,7700,150,*,HW CMa
169,GZ CMa,p,07 16 19.21,-16 43 00.10,A3Vm,2.2010,0.0250,2.4900,0.0300,3.989,0.012,8810,350,*,GZ CMa
170,GZ CMa,s,07 16 19.21,-16 43 00.10,A4 V,2.0010,0.0250,2.1300,0.0400,4.083,0.017,8531,340,*,GZ CMa
171,FS Mon,p,07 24 42.30,-05 09 14.57,F2V,1.6320,0.0120,2.0610,0.0120,4.023,0.006,6715,100,*,FS Mon
172,FS Mon,s,07 24 42.30,-05 09 14.57,F4V,1.4620,0.0100,1.6370,0.0120,4.175,0.007,6550,100,*,FS Mon
173,YY Gem,p,07 34 37.41,+31 52 09.79,M1Ve,0.5980,0.0050,0.6210,0.0060,4.629,0.009,3820,100,*,YY Gem
174,YY Gem,s,07 34 37.41,+31 52 09.79,M1Ve,0.6010,0.0050,0.6050,0.0060,4.654,0.009,3820,100,*,YY Gem
175,MG1-506664,p,07 43 11.57,+03 16 22.09,M1V,0.5840,0.0020,0.5590,0.0020,4.710,0.003,3730,90,*,MOTESS-GNAT 506664
176,MG1-506664,s,07 43 11.57,+03 16 22.09,M2V,0.5440,0.0020,0.5120,0.0040,4.755,0.007,3610,90,*,MOTESS-GNAT 506664
177,PV Pup,p,07 45 28.73,-14 41 10.20,A0V,1.5390,0.0120,1.5360,0.0160,4.253,0.010,6920,300,*,PV Pup
178,PV Pup,s,07 45 28.73,-14 41 10.20,A2V,1.5270,0.0140,1.4930,0.0160,4.274,0.010,6930,300,*,PV Pup
179,MW Pup,p,07 56 01.70,-44 54 46.62,A3V,2.2000,0.0600,1.8400,0.0300,4.251,0.018,8502,200,*,MW Pup
180,MW Pup,s,07 56 01.70,-44 54 46.62,A3V,1.8800,0.0700,1.7200,0.0300,4.241,0.022,8026,222,**,MW Pup
181,V392 Car,p,07 58 10.48,-60 51 57.20,A2V,1.9000,0.0240,1.6240,0.0300,4.296,0.017,8850,200,*,V392 Car
